"Net generation for all fuels (utility-scale)"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,2,0&fuel=g&geo=g0fvvvvvvvvvo&sec=g&linechart=ELEC.GEN.ALL-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&start=2001&end=2019&ctype=linechart&ltype=sourcekey&rtype=s&maptype=0&rse=0&pin="
"Sat Oct 10 2020 12:31:44 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Net generation for all fuels (utility-scale)","thousand megawatthours",,,,,,,,,,,,,,,,,,,,
"All sectors","thousand megawatthours","ELEC.GEN.ALL-US-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : United States","thousand megawatthours","ELEC.GEN.ALL-US-99.A",3736644,3858452,3883185,3970555,4055423,4064702,4156745,4119388,3950331,4125060,4100141,4047765,4065964,4093606,4077601,4076675,4034271,4178277,4118051
"All sectors : New England",,"ELEC.GEN.ALL-NEW-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Connecticut","thousand megawatthours","ELEC.GEN.ALL-CT-99.A",30491,31311,29545,32633,33550,34682,33171,30409,31206,33350,33745,36118,35611,33677,37471,36497,34563,39454,40108
"All sectors : Maine","thousand megawatthours","ELEC.GEN.ALL-ME-99.A",19565,22535,18972,19099,18844,16816,16129,17095,16350,17019,15974,15048,14030,13249,11741,11514,11264,11281,10117
"All sectors : Massachusetts","thousand megawatthours","ELEC.GEN.ALL-MA-99.A",38478,42028,48385,47500,47515,45598,47076,42505,38967,42805,38055,35578,32885,31119,32086,31955,32204,27173,22248
"All sectors : New Hampshire","thousand megawatthours","ELEC.GEN.ALL-NH-99.A",15075,15953,21597,23876,24470,22064,23277,22877,20164,22196,20066,19222,19779,19538,20016,19282,17447,17087,17951
"All sectors : Rhode Island","thousand megawatthours","ELEC.GEN.ALL-RI-99.A",7502,7057,5621,4939,6053,5968,7050,7387,7697,7739,8722,8309,6247,6282,6939,6565,7615,8375,7765
"All sectors : Vermont","thousand megawatthours","ELEC.GEN.ALL-VT-99.A",5481,5456,6028,5470,5717,7084,5824,6820,7282,6620,6776,6612,6885,7031,1982,1911,2141,2179,2184
"All sectors : Middle Atlantic",,"ELEC.GEN.ALL-MAT-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : New Jersey","thousand megawatthours","ELEC.GEN.ALL-NJ-99.A",59421,61569,57399,55882,60550,60700,62671,63675,61811,65682,64694,65263,64751,68051,74609,77611,75645,75034,71230
"All sectors : New York","thousand megawatthours","ELEC.GEN.ALL-NY-99.A",143915,139592,137643,137965,146887,142265,145879,140322,133151,136962,137480,135768,136117,137122,138628,134417,128065,132521,132681
"All sectors : Pennsylvania","thousand megawatthours","ELEC.GEN.ALL-PA-99.A",196577,204323,206350,214659,218091,218812,226088,222351,219496,229752,227315,223420,226786,221058,214572,215067,213639,215386,231245
"All sectors : East North Central",,"ELEC.GEN.ALL-ENC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Illinois","thousand megawatthours","ELEC.GEN.ALL-IL-99.A",179249,188054,189055,191958,194120,192427,200261,199475,193864,201352,199500,197565,203005,202144,193952,187289,183592,188003,181480
"All sectors : Indiana","thousand megawatthours","ELEC.GEN.ALL-IN-99.A",122570,125608,124888,127770,130372,130490,130638,129510,116670,125181,122131,114696,110403,115395,104019,101759,98930,113460,102894
"All sectors : Michigan","thousand megawatthours","ELEC.GEN.ALL-MI-99.A",111846,117889,111347,118487,121620,112557,119310,114990,101203,111551,109170,108158,105418,106817,113008,112122,112314,115837,116657
"All sectors : Ohio","thousand megawatthours","ELEC.GEN.ALL-OH-99.A",142262,147069,146638,148346,156976,155434,155156,153412,136090,143598,135586,129746,137284,134476,121893,118922,119554,126185,119610
"All sectors : Wisconsin","thousand megawatthours","ELEC.GEN.ALL-WI-99.A",58763,58431,60122,60445,61825,61640,63391,63480,59959,64314,63289,63751,65963,61065,66360,64967,65107,65937,62751
"All sectors : West North Central",,"ELEC.GEN.ALL-WNC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Iowa","thousand megawatthours","ELEC.GEN.ALL-IA-99.A",40659,42528,42116,43248,44156,45483,49789,53087,51860,57509,56372,56675,56671,56853,56659,54393,57910,63381,63268
"All sectors : Kansas","thousand megawatthours","ELEC.GEN.ALL-KS-99.A",44749,47188,46568,46783,45863,45524,50122,46630,46677,47924,45360,44425,48473,49728,45527,47600,50933,51710,51875
"All sectors : Minnesota","thousand megawatthours","ELEC.GEN.ALL-MN-99.A",48523,52778,55051,52364,53019,53238,54478,54763,52492,53670,53120,52754,51297,56998,56980,59479,58749,61517,57875
"All sectors : Missouri","thousand megawatthours","ELEC.GEN.ALL-MO-99.A",79545,81162,87225,87633,90828,91686,91153,91029,88354,92313,94876,91804,91627,87834,83640,78612,84607,85095,76473
"All sectors : Nebraska","thousand megawatthours","ELEC.GEN.ALL-NE-99.A",30485,31618,30456,32009,31465,31670,32443,32374,34002,36630,36095,34217,37105,39431,39883,36525,35407,36966,37215
"All sectors : North Dakota","thousand megawatthours","ELEC.GEN.ALL-ND-99.A",30332,31306,31322,29936,31933,30881,31224,32735,34196,34740,35080,36125,35022,36463,37157,37856,41505,42615,40188
"All sectors : South Dakota","thousand megawatthours","ELEC.GEN.ALL-SD-99.A",7401,7722,7944,7510,6521,7132,6137,7083,8197,10050,11999,11473,10109,10995,9633,11524,10936,12616,12613
