"Net generation for all utility-scale solar"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,2,0&fuel=004&geo=g0fvvvvvvvvvo&sec=g&freq=A&start=2001&end=2019&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0"
"Sat Oct 10 2020 12:34:28 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Net generation for all utility-scale solar","thousand megawatthours",,,,,,,,,,,,,,,,,,,,
"All sectors","thousand megawatthours","ELEC.GEN.SUN-US-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : United States","thousand megawatthours","ELEC.GEN.SUN-US-99.A",543,555,534,575,550,508,612,864,891,1212,1818,4327,9036,17691,24893,36054,53287,63825,72234
"All sectors : New England",,"ELEC.GEN.SUN-NEW-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Connecticut","thousand megawatthours","ELEC.GEN.SUN-CT-99.A","--","--","--","--","--","--","--","--","--","--","--","--",0,12,17,25,40,106,176
"All sectors : Maine","thousand megawatthours","ELEC.GEN.SUN-ME-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",5,12,12
"All sectors : Massachusetts","thousand megawatthours","ELEC.GEN.SUN-MA-99.A","--","--","--","--","--","--","--",0,0,1,5,30,106,306,451,609,788,978,1185
"All sectors : New Hampshire","thousand megawatthours","ELEC.GEN.SUN-NH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"All sectors : Rhode Island","thousand megawatthours","ELEC.GEN.SUN-RI-99.A","--","--","--","--","--","--","--","--","--","--","--","--",2,10,14,15,14,29,72
"All sectors : Vermont","thousand megawatthours","ELEC.GEN.SUN-VT-99.A","--","--","--","--","--","--","--","--","--","--",2,5,17,24,48,59,99,107,175
"All sectors : Middle Atlantic",,"ELEC.GEN.SUN-MAT-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : New Jersey","thousand megawatthours","ELEC.GEN.SUN-NJ-99.A","--","--","--","--","--","--","--",3,11,21,69,304,437,514,628,835,926,990,1217
"All sectors : New York","thousand megawatthours","ELEC.GEN.SUN-NY-99.A","--","--","--","--","--","--","--","--","--","--",6,53,67,71,101,140,183,297,650
"All sectors : Pennsylvania","thousand megawatthours","ELEC.GEN.SUN-PA-99.A","--","--","--","--","--","--","--",0,4,8,23,32,63,62,64,75,70,62,88
"All sectors : East North Central",,"ELEC.GEN.SUN-ENC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Illinois","thousand megawatthours","ELEC.GEN.SUN-IL-99.A","--","--","--","--","--","--","--","--",0,14,14,31,52,50,49,49,52,66,65
