country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
USA,United States of America,12 Applegate Solar LLC,USA0059371,1.9,40.2003,-74.5761,Solar,,,,2012,SunRay Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,2.41461,2.35,2.43,2.492,2.276,
USA,United States of America,126 Grove Solar LLC,USA0060858,2,42.0761,-71.4227,Solar,,,,2012,126 Grove Solar LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,2.416,2.251,0.891855336
USA,United States of America,1420 Coil Av #C,USA0057310,1.3,33.7943,-118.2414,Solar,,,,2011,Konoike Pacific,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.528,2.149,1.515,1.592,1.66,
USA,United States of America,145 Talmadge Solar,USA0057458,3.8,40.5358,-74.3913,Solar,,,,2011,Avidan Energy Solutions,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67644,2017,5.036,4.524,4.802,5.051,4.819,
USA,United States of America,1515 S Caron Road,USA0007770,4.2,41.9084,-89.0466,Gas,,,,2000,Rochelle Municipal Utilities,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,52308,2017,0.215,0.178,0.271,0.306,0.264,
USA,United States of America,158th Fighter Wing Solar Farm,USA0060542,1.3,44.4777,-73.1534,Solar,,,,2011,158th Fighter Wing,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,1.655,1.616,0.579705968
USA,United States of America,180 Raritan Solar,USA0058187,1.9,40.5161,-74.34,Solar,,,,2012,180 Raritan Energy Solutions  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67643,2017,2.741,2.584,2.526,2.659,2.547,
USA,United States of America,191 Peachtree Tower,USA0054818,2.4,33.7583,-84.3869,Oil,,,,1991,Banyan St./GAP 191 Peachtree Owner  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,48724,2017,0,0,0,0,0,
USA,United States of America,201 Sturbridge B,USA0059822,2,42.1091,-72.1712,Solar,,,,2014,SE Solarne2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,2.969,2.979,2.835,2.722,
USA,United States of America,205 Sturbridge A,USA0059821,3,42.1093,-72.1705,Solar,,,,2014,SH Solarne2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,2.969,5.326,5.319,5.041,
USA,United States of America,2081 Terzian Solar Project,USA0058918,1.2,36.67,-119.4158,Solar,,,,2014,Solarenewal LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,1.918,3.444,2.601,3.016,
USA,United States of America,2097 Helton Solar Project,USA0058920,1.5,37.3522,-120.5069,Solar,,,,2014,Solarenewal LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,0.208,3.999,3.798,3.626,
USA,United States of America,2127 Harris Solar Project,USA0058919,1.3,39.2917,-121.6697,Solar,,,,2014,Solarenewal LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,0.792,2.88,2.712,2.646,
USA,United States of America,231 Dixon 74 Solar I  LLC,USA0061195,2,35.2441,-81.4304,Solar,,,,2017,Soltage LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,1.207,0.891855336
USA,United States of America,24 Applegate Solar LLC,USA0059365,4.9,40.2058,-74.5797,Solar,,,,2014,SunRay Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,5.734,1.742,1.667,5.259,
USA,United States of America,2555 E Olympic Bl,USA0057871,1,34.0269,-118.2242,Solar,,,,2012,Los Angeles Department of Water & Power,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.894,1.341,1.235,1.78,1.35,
USA,United States of America,265 Pleasant Solar NG  LLC,USA0059485,2.2,42.5814,-71.7622,Solar,,,,2014,NuGen Capital Management,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,0.523,1.479,1.5,1.372,
USA,United States of America,301 Chestnut Solar NG,USA0061518,4.3,42.0552,-72.5218,Solar,,,,2017,301 Chestnut Solar NG  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,1.847,1.917488972
USA,United States of America,350 Clark Solar  NG  LLC,USA0061224,1.8,40.8942,-74.7302,Solar,,,,2011,350 Clark Solar NG  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,2.167,1.143,0.802669802
USA,United States of America,4 Applegate Solar LLC,USA0059370,1.8,40.1964,-74.5836,Solar,,,,2012,SunRay Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,2.24037,2.028,2.159,2.265,1.93,
USA,United States of America,433 Purchase Solar NG  LLC,USA0061237,2.5,41.8094,-71.1922,Solar,,,,2012,433 Purchase Solar NG  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,4.219,3.662,1.11481917
USA,United States of America,45 Mile Hydroelectric Project,USA0058455,3,44.5281,-121.1528,Hydro,,,,2015,EBD Hydro LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,64894,2017,,,5.561,7.332,6.349,137.0795424
USA,United States of America,491 E 48th Street,USA0007268,161.7,42.7553,-86.0853,Gas,Oil,,,1996.131107,City of Holland,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,22235,2017,14.308,14.985,0,14.034,66.843,
USA,United States of America,4Oaks,USA0059534,5,35.4325,-78.4117,Solar,,,,2015,Greenbacker Renewable Energy Corporation,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,3.836,9.354,2.747,2.22963834
USA,United States of America,500 Virginia Solar,USA0057640,1,40.1392,-75.1917,Solar,,,,2011,500 Virginia Solar  LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,65140,2017,,1.129,1.103,1.238,1.174,
USA,United States of America,500MW CC,USA0056196,528,40.7889,-73.9069,Gas,Cogeneration,Oil,,2006,New York Power Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3371.908049,3307.582007,2891.433025,2722.323019,2223.712995,
USA,United States of America,510 REPP One,USA0057363,1.3,36.4972,-77.6058,Solar,,,,2014,510 REPP One LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63183,2017,,0.387,1.929,1.968,1.447,
USA,United States of America,59th Street,USA0002503,17.1,40.7713,-73.9912,Gas,Oil,,,1969,Consolidated Edison Co-NY Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17332,2017,0.402,0.293,0,0,0.093,
USA,United States of America,651 Chase Solar NG,USA0059046,2.5,42.6267,-71.7428,Solar,,,,2014,651 Chase Solar NG LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,1.611,4.226,4.2,4.034,
USA,United States of America,74th Street,USA0002504,37,40.768,-73.9515,Oil,,,,1968,Consolidated Edison Co-NY Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17334,2017,0.181,0.694,0.559,0.521,0.504,
USA,United States of America,85 A,USA0052162,14.1,35.1011,-118.3372,Wind,,,,1985,AES Wind Generation Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,18.64,16.839,13.347,16.012,16.521,
USA,United States of America,85 B,USA0052163,21.2,35.1011,-118.3372,Wind,,,,1985,AES Wind Generation Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,25.968,22.336,17.296,20.601,16.355,
USA,United States of America,99 Islands,USA0003272,18,35.0314,-81.4936,Hydro,,,,1910,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,18698,2017,91.592,78.817,61.397,45.196,50.585,
USA,United States of America,A B Brown,USA0006137,706.8,37.9053,-87.715,Coal,Oil,Gas,,1985.994058,Southern Indiana Gas & Elec Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33210,2017,2470.211954,0,2491.930026,2135.061032,1942.599978,
USA,United States of America,A G Wishon,USA0000293,12.8,37.151,-119.5047,Hydro,,,,1910,Pacific Gas & Electric Co.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,29353,2017,21.245,6.571,2.59,34.315,34.926,
USA,United States of America,A L Pierce,USA0006635,84,41.4482,-72.8349,Gas,Waste,Oil,,2007,Connecticut Mun Elec Engy Coop,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55374,2017,9.06,13.17,2.323,4.012,4.333,
USA,United States of America,A.E.S. Corp.,WRI1026808,454.3,17.9474,-66.1494,Coal,,,,,AES Corporation,Fluor; PREPA,http://www.fluor.com/projects/solid-fueled-power-aes-puerto-rico-epc; http://energia.pr.gov/datos/plantas/,WRI,,,,,,,,450562.6923
USA,United States of America,ABC Coke,USA0056076,3.8,33.5828,-86.7799,Gas,,,,1997,Drummond Company  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,56875,2017,14.022,13.707,2.07,2.989,2.763,
USA,United States of America,ABD Farms,USA0061525,5,35.7287,-79.7483,Solar,,,,2018,Cypress Creek Renewables,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,0,2.22963834
USA,United States of America,ABEC Bidart-Old River LLC,USA0058699,2,35.1697,-119.1056,Biomass,,,,2014,ABEC Bidart-Old River LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0.013,8.013,10.198,10.899,12.124,
USA,United States of America,AC Criminal Courts Complex SPE2  LLC,USA0058798,1.3,39.4375,-74.6906,Solar,,,,2013,Sustainable Power Group  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.947,1.925,2.328,1.916,1.907,
USA,United States of America,AC Landfill Energy LLC,USA0057845,5.4,39.4175,-74.5422,Waste,,,,2005,AC Landfill Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68062,2017,21.854,15.862,10.046,10.047,8.24,
USA,United States of America,ACCC Mays Landing,USA0060802,1.4,39.4606,-74.6809,Solar,,,,2013,Marina Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68073,2017,,,,2.024,1.985,0.624298735
USA,United States of America,ACE-Stanton A PV,USA0061247,4.1,28.4845,-81.1741,Solar,,,,2017,ACE-Stanton A  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,2.308,1.828303439
USA,United States of America,ACE-Stanton PV,USA0061246,4.8,28.4774,-81.1804,Solar,,,,2017,ACE-Stanton  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,2.755,2.140452806
USA,United States of America,ADA Carbon Solutions Red River,USA0057938,20.8,32.0039,-93.3911,Cogeneration,,,,2011,ADA Carbon Solutions (Red River)  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,68060,2017,25.53137,42.43459,58.22425,0,68.92222,
USA,United States of America,ADS Renewable Energy-Wolf Creek LLC,USA0060184,2.8,32.7755,-83.4348,Waste,,,,2011,ADS Renewable Energy- Wolf Creek  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,20.158,17.964,18.118,0
USA,United States of America,AEP Bluffton NaS,USA0060618,2,40.8928,-83.8863,Storage,,,,2009,Ohio Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,14689,2017,,,,0,0,
USA,United States of America,AEP Churubusco NaS,USA0060617,2,41.2326,-85.3149,Storage,,,,2009,Indiana Michigan Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0,0,
USA,United States of America,AEP Jacksonville Solar Project,USA0061388,7.1,30.5236,-81.6864,Solar,,,,2017,AEP Onsite Partners,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,8.259,3.166086443
USA,United States of America,AEP Milton NaS,USA0059995,2,38.3622,-82.1256,Storage,,,,2009,Appalachian Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0,0,
USA,United States of America,AES ADA Energy Storage Array,USA0060811,2,40.1218,-75.4172,Storage,,,,2013,Fluence,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,-5.046,-3.115,
USA,United States of America,AES Alamitos LLC,USA0000315,1922,33.7688,-118.1009,Gas,,,,1962.652445,AES Alamitos LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33109,2017,1528.931,1369.722,1052.825,889.395,855.083,
USA,United States of America,AES Hawaii,USA0010673,203,21.3034,-158.1065,Coal,Oil,Other,,1992,AES Hawaii Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12453,2017,1374.962973,1481.909044,1258.126033,1512.820004,1395.546954,
USA,United States of America,AES Huntington Beach LLC,USA0000335,436,33.6439,-117.9792,Gas,,,,1958.5,AES Huntington Beach LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33131,2017,851.663,912.234,722.497,486.191,408.97,
USA,United States of America,AES Ilumina,WRI1026807,24,17.9468,-66.1591,Solar,,,,,AES Corporation,PV Tech,http://www.pv-tech.org/news/aes_solar_closes_financing_on_24mw_pv_power_plant_in_puerto_rico_constructi,WRI,62587,,,,,,,10.70226403
USA,United States of America,AES Petersburg,USA0000994,2154.8,38.5281,-87.2525,Coal,Oil,,,1976.75775,Indianapolis Power & Light Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,23044,2017,10505.28775,11266.34537,8966.936012,9230.343021,9341.582954,
USA,United States of America,AES Redondo Beach LLC,USA0000356,1316.4,33.8504,-118.395,Gas,,,,1964.148587,AES Redondo Beach LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33159,2017,299.638,249.851,486.888,320.555,514.578,
USA,United States of America,AES Shady Point LLC,USA0010671,350,35.1931,-94.6458,Coal,Gas,Other,,1990,AES Shady Point LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12444,2017,1872.653,1889.73297,1831.14195,1922.597043,1797.616024,
USA,United States of America,AES Warrior Run Cogeneration Facility,USA0010678,229,39.5952,-78.7453,Coal,,,,1999,AES WR Ltd Partnership,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12448,2017,1349.561951,1265.667026,1165.822039,984.976003,1108.237006,
USA,United States of America,AES Warrior Run Energy Storage Project,USA0059949,11,39.5931,-78.7453,Storage,,,,2016,AES Tait LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12448,2017,,,,-1.332,-2.639,
USA,United States of America,AFA Solar Farm,USA0057554,5.5,38.9579,-104.8066,Solar,,,,2011,Solar Star Colorado II LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,11.27,11.294,11.205,11.563,11.203,
USA,United States of America,AIS Solar Project,USA0060986,2.5,42.5019,-71.7378,Solar,,,,2017,WGL Energy Systems  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0.013,3.621,1.11481917
USA,United States of America,AL Sandersville LLC,USA0055672,692,33.1189,-82.8608,Gas,,,,2002,SEPG Operating Services  LLC ALS,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,49338,2017,3.529,9.041,7.382,6.974,1.145,
