country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
USA,United States of America,45 Mile Hydroelectric Project,USA0058455,3,44.5281,-121.1528,Hydro,2015,EBD Hydro LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,64894,2017,,,5.561,7.332,6.349
USA,United States of America,99 Islands,USA0003272,18,35.0314,-81.4936,Hydro,1910,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,18698,2017,91.592,78.817,61.397,45.196,50.585
USA,United States of America,A G Wishon,USA0000293,12.8,37.151,-119.5047,Hydro,1910,Pacific Gas & Electric Co.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,29353,2017,21.245,6.571,2.59,34.315,34.926
USA,United States of America,Abbott TP 3,USA0003581,2.8,29.594,-98.0407,Hydro,1927,Guadalupe Blanco River Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,21548,2017,3.99,2.767,10.238,13.634,11.599
USA,United States of America,Abiquiu Dam,USA0007789,15.6,36.2399,-106.423,Hydro,1993,Los Alamos County,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,25063,2017,26.034,24.904,13.74,0,50.851
USA,United States of America,Ada Dam,USA0050433,1.4,42.9506,-85.4859,Hydro,1984,STS HydroPower Ltd-Ada Dam,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33812,2017,6.462,6.618,5.366,7.101,3.708
USA,United States of America,Alamo,USA0000905,19.6,34.8158,-118.6867,Hydro,1986,California Dept. of Water Resources,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,15328,2017,22.048,19.265,23.88,67,104.372
USA,United States of America,Albeni Falls,USA0000851,42,48.1802,-116.9986,Hydro,1955,USACE Northwestern Division,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,35529,2017,230.48,160.597,180.77,208.4,154.187
USA,United States of America,Alcona,USA0001693,8,44.562,-83.8045,Hydro,1924,Consumers Energy Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17506,2017,27.658,30.711,28.055,29.953,33.507
USA,United States of America,Alcova,USA0006409,41.4,42.5484,-106.7175,Hydro,1955,U S Bureau of Reclamation,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,35616,2017,91.922,73.132,78.306,108.678,133.364
USA,United States of America,Alder,USA0003913,50,46.8016,-122.3102,Hydro,1947,City of Tacoma - (WA),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,34112,2017,222.108,247.536,191.283,251.255,232.142
USA,United States of America,Alexander,USA0004060,4.2,45.1875,-89.7553,Hydro,1925,Wisconsin Public Service Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,37242,2017,20.622,26.378,23.609,28.669,30.22
USA,United States of America,Alice Falls Hydro Project,USA0054391,2.1,44.5192,-73.4648,Hydro,1991,Alice Falls Hydro  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,25864,2017,0,0.103,0,0.114,0.881
